origin,destination,date,price,airline,duration,departure,arrival,error
MAD,BCN,2026-02-18,48.27,UX,PT1H25M,2026-02-18T15:10:00,2026-02-18T16:35:00,
MAD,BCN,2026-02-18,62.27,UX,PT1H25M,2026-02-18T07:30:00,2026-02-18T08:55:00,
MAD,BCN,2026-02-18,77.48,UX,PT10H10M,2026-02-18T21:45:00,2026-02-18T23:05:00,
MAD,BCN,2026-02-18,77.48,UX,PT12H55M,2026-02-18T19:00:00,2026-02-18T20:20:00,
MAD,BCN,2026-02-18,79.37,VY,PT1H15M,2026-02-18T11:25:00,2026-02-18T12:40:00,
MAD,BCN,2026-02-18,79.37,VY,PT1H20M,2026-02-18T07:05:00,2026-02-18T08:25:00,
MAD,BCN,2026-02-18,79.37,VY,PT1H20M,2026-02-18T07:40:00,2026-02-18T09:00:00,
MAD,BCN,2026-02-18,79.37,VY,PT1H20M,2026-02-18T08:25:00,2026-02-18T09:45:00,
MAD,BCN,2026-02-18,79.37,VY,PT1H20M,2026-02-18T20:00:00,2026-02-18T21:20:00,
MAD,BCN,2026-02-18,79.37,IB,PT1H15M,2026-02-18T16:55:00,2026-02-18T18:10:00,
MAD,BCN,2026-02-18,79.37,IB,PT1H15M,2026-02-18T21:35:00,2026-02-18T22:50:00,
MAD,BCN,2026-02-18,79.37,IB,PT1H20M,2026-02-18T07:05:00,2026-02-18T08:25:00,
MAD,BCN,2026-02-18,85.37,VY,PT1H15M,2026-02-18T18:00:00,2026-02-18T19:15:00,
MAD,BCN,2026-02-18,85.37,VY,PT1H20M,2026-02-18T10:25:00,2026-02-18T11:45:00,
MAD,BCN,2026-02-18,85.37,VY,PT1H20M,2026-02-18T13:00:00,2026-02-18T14:20:00,
MAD,BCN,2026-02-19,54.27,UX,PT1H25M,2026-02-19T15:10:00,2026-02-19T16:35:00,
MAD,BCN,2026-02-19,62.27,UX,PT1H25M,2026-02-19T07:30:00,2026-02-19T08:55:00,
MAD,BCN,2026-02-19,79.37,IB,PT1H15M,2026-02-19T16:55:00,2026-02-19T18:10:00,
MAD,BCN,2026-02-19,79.37,IB,PT1H15M,2026-02-19T21:35:00,2026-02-19T22:50:00,
MAD,BCN,2026-02-19,79.37,IB,PT1H20M,2026-02-19T07:05:00,2026-02-19T08:25:00,
MAD,BCN,2026-02-19,79.37,VY,PT1H20M,2026-02-19T07:05:00,2026-02-19T08:25:00,
MAD,BCN,2026-02-19,85.37,VY,PT1H15M,2026-02-19T11:25:00,2026-02-19T12:40:00,
MAD,BCN,2026-02-19,85.37,VY,PT1H15M,2026-02-19T18:00:00,2026-02-19T19:15:00,
MAD,BCN,2026-02-19,85.37,VY,PT1H15M,2026-02-19T19:10:00,2026-02-19T20:25:00,
MAD,BCN,2026-02-19,85.37,VY,PT1H20M,2026-02-19T10:25:00,2026-02-19T11:45:00,
MAD,BCN,2026-02-19,85.37,VY,PT1H20M,2026-02-19T13:00:00,2026-02-19T14:20:00,
MAD,BCN,2026-02-19,85.37,VY,PT1H20M,2026-02-19T20:00:00,2026-02-19T21:20:00,
MAD,BCN,2026-02-19,89.48,UX,PT2H45M,2026-02-19T08:20:00,2026-02-19T09:40:00,
MAD,BCN,2026-02-19,89.48,UX,PT6H,2026-02-19T08:20:00,2026-02-19T09:40:00,
MAD,BCN,2026-02-19,98.48,UX,PT10H10M,2026-02-19T21:45:00,2026-02-19T23:05:00,
MAD,BCN,2026-02-20,48.27,UX,PT1H25M,2026-02-20T15:10:00,2026-02-20T16:35:00,
MAD,BCN,2026-02-20,62.27,UX,PT1H25M,2026-02-20T07:30:00,2026-02-20T08:55:00,
MAD,BCN,2026-02-20,63.48,UX,PT10H10M,2026-02-20T21:45:00,2026-02-20T23:05:00,
MAD,BCN,2026-02-20,79.37,VY,PT1H15M,2026-02-20T11:25:00,2026-02-20T12:40:00,
MAD,BCN,2026-02-20,79.37,VY,PT1H20M,2026-02-20T07:05:00,2026-02-20T08:25:00,
MAD,BCN,2026-02-20,79.37,VY,PT1H20M,2026-02-20T10:25:00,2026-02-20T11:45:00,
MAD,BCN,2026-02-20,79.37,IB,PT1H15M,2026-02-20T16:55:00,2026-02-20T18:10:00,
MAD,BCN,2026-02-20,79.37,IB,PT1H15M,2026-02-20T19:10:00,2026-02-20T20:25:00,
MAD,BCN,2026-02-20,79.37,IB,PT1H15M,2026-02-20T21:35:00,2026-02-20T22:50:00,
MAD,BCN,2026-02-20,79.37,IB,PT1H20M,2026-02-20T07:05:00,2026-02-20T08:25:00,
MAD,BCN,2026-02-20,85.37,VY,PT1H15M,2026-02-20T19:10:00,2026-02-20T20:25:00,
MAD,BCN,2026-02-20,85.37,VY,PT1H20M,2026-02-20T08:25:00,2026-02-20T09:45:00,
MAD,BCN,2026-02-20,85.37,VY,PT1H20M,2026-02-20T13:00:00,2026-02-20T14:20:00,
MAD,BCN,2026-02-20,85.37,VY,PT1H20M,2026-02-20T15:50:00,2026-02-20T17:10:00,
MAD,BCN,2026-02-20,92.48,UX,PT2H45M,2026-02-20T08:20:00,2026-02-20T09:40:00,
