origin,airline,weekday,duration(min),dep_minutes,route_weekday,pred_price
LIS,IB,Wednesday,109,1330.0,LIS_Wednesday,61.513203
LIS,IB,Wednesday,114,1265.0,LIS_Wednesday,61.839584
LIS,IB,Wednesday,120,545.0,LIS_Wednesday,64.73777
LIS,IB,Wednesday,120,840.0,LIS_Wednesday,63.50795
LIS,VY,Wednesday,109,1330.0,LIS_Wednesday,60.960392
LIS,VY,Wednesday,114,1265.0,LIS_Wednesday,61.286777
LIS,VY,Wednesday,120,545.0,LIS_Wednesday,65.31604
LIS,VY,Wednesday,120,840.0,LIS_Wednesday,63.265244
LIS,UX,Wednesday,455,480.0,LIS_Wednesday,91.319954
LIS,A3,Wednesday,1285,720.0,LIS_Wednesday,106.95126
LIS,A3,Wednesday,1690,720.0,LIS_Wednesday,108.150665
LIS,TP,Wednesday,115,430.0,LIS_Wednesday,75.45588
LIS,TP,Wednesday,115,530.0,LIS_Wednesday,72.57316
LIS,TP,Wednesday,115,650.0,LIS_Wednesday,73.20473
LIS,TP,Wednesday,115,860.0,LIS_Wednesday,76.46619
LIS,IB,Thursday,109,1330.0,LIS_Thursday,61.718933
LIS,IB,Thursday,114,1265.0,LIS_Thursday,62.045315
LIS,IB,Thursday,120,545.0,LIS_Thursday,64.91892
LIS,IB,Thursday,120,840.0,LIS_Thursday,63.689095
LIS,VY,Thursday,114,1265.0,LIS_Thursday,61.467934
LIS,VY,Thursday,115,1045.0,LIS_Thursday,62.477215
LIS,VY,Thursday,120,835.0,LIS_Thursday,63.446404
LIS,UX,Thursday,240,695.0,LIS_Thursday,86.03272
LIS,UX,Thursday,475,460.0,LIS_Thursday,93.3603
LIS,VY,Thursday,120,545.0,LIS_Thursday,65.49719
LIS,TP,Thursday,115,430.0,LIS_Thursday,81.77013
LIS,TP,Thursday,115,530.0,LIS_Thursday,77.351074
LIS,TP,Thursday,115,650.0,LIS_Thursday,78.70496
LIS,TP,Thursday,115,860.0,LIS_Thursday,77.88913
