origin,destination,date,price,airline,duration,departure,arrival,error,duration(min),departure_dt,dep_date,dep_time,dep_minutes,arrival_dt,arr_date,arr_time,arr_minutes,weekday
LIS,BCN,2026/2/18,60.96,IB,1:49,2026-02-18T22:10:00,2026-02-19T00:59:00,,109,2026-02-18 22:10:00,2026-02-18,22:10,1330.0,2026-02-19 00:59:00,2026-02-19,00:59,59.0,Wednesday
LIS,BCN,2026/2/18,60.96,IB,1:54,2026-02-18T21:05:00,2026-02-18T23:59:00,,114,2026-02-18 21:05:00,2026-02-18,21:05,1265.0,2026-02-18 23:59:00,2026-02-18,23:59,1439.0,Wednesday
LIS,BCN,2026/2/18,60.96,IB,2:00,2026-02-18T09:05:00,2026-02-18T12:05:00,,120,2026-02-18 09:05:00,2026-02-18,09:05,545.0,2026-02-18 12:05:00,2026-02-18,12:05,725.0,Wednesday
LIS,BCN,2026/2/18,60.96,IB,2:00,2026-02-18T14:00:00,2026-02-18T17:00:00,,120,2026-02-18 14:00:00,2026-02-18,14:00,840.0,2026-02-18 17:00:00,2026-02-18,17:00,1020.0,Wednesday
LIS,BCN,2026/2/18,60.96,VY,1:49,2026-02-18T22:10:00,2026-02-19T00:59:00,,109,2026-02-18 22:10:00,2026-02-18,22:10,1330.0,2026-02-19 00:59:00,2026-02-19,00:59,59.0,Wednesday
LIS,BCN,2026/2/18,60.96,VY,1:54,2026-02-18T21:05:00,2026-02-18T23:59:00,,114,2026-02-18 21:05:00,2026-02-18,21:05,1265.0,2026-02-18 23:59:00,2026-02-18,23:59,1439.0,Wednesday
LIS,BCN,2026/2/18,60.96,VY,2:00,2026-02-18T09:05:00,2026-02-18T12:05:00,,120,2026-02-18 09:05:00,2026-02-18,09:05,545.0,2026-02-18 12:05:00,2026-02-18,12:05,725.0,Wednesday
LIS,BCN,2026/2/18,60.96,VY,2:00,2026-02-18T14:00:00,2026-02-18T17:00:00,,120,2026-02-18 14:00:00,2026-02-18,14:00,840.0,2026-02-18 17:00:00,2026-02-18,17:00,1020.0,Wednesday
LIS,BCN,2026/2/18,75.81,UX,7:35,2026-02-18T08:00:00,2026-02-18T10:15:00,,455,2026-02-18 08:00:00,2026-02-18,08:00,480.0,2026-02-18 10:15:00,2026-02-18,10:15,615.0,Wednesday
LIS,BCN,2026/2/18,99.68,A3,21:25,2026-02-18T12:00:00,2026-02-18T17:55:00,,1285,2026-02-18 12:00:00,2026-02-18,12:00,720.0,2026-02-18 17:55:00,2026-02-18,17:55,1075.0,Wednesday
