origin,destination,date,price,airline,duration,departure,arrival,error
NCE,BCN,2026-02-18,77.56,VY,PT1H20M,2026-02-18T22:55:00,2026-02-19T00:15:00,
NCE,BCN,2026-02-18,77.56,IB,PT1H20M,2026-02-18T22:55:00,2026-02-19T00:15:00,
NCE,BCN,2026-02-18,137.41,IB,PT5H35M,2026-02-18T12:35:00,2026-02-18T14:35:00,
NCE,BCN,2026-02-18,150.5,TU,PT4H45M,2026-02-18T09:15:00,2026-02-18T10:50:00,
NCE,BCN,2026-02-18,162.41,IB,PT13H30M,2026-02-18T18:55:00,2026-02-18T20:55:00,
NCE,BCN,2026-02-18,177.28,A3,PT22H45M,2026-02-18T11:40:00,2026-02-18T15:05:00,
NCE,BCN,2026-02-18,177.28,A3,PT29H30M,2026-02-18T11:40:00,2026-02-18T15:05:00,
NCE,BCN,2026-02-18,182.0,TP,PT8H25M,2026-02-18T11:55:00,2026-02-18T13:40:00,
NCE,BCN,2026-02-18,182.0,TP,PT11H50M,2026-02-18T11:55:00,2026-02-18T13:40:00,
NCE,BCN,2026-02-18,198.29,AF,PT4H10M,2026-02-18T15:10:00,2026-02-18T16:45:00,
NCE,BCN,2026-02-18,198.29,AF,PT4H40M,2026-02-18T18:15:00,2026-02-18T19:55:00,
NCE,BCN,2026-02-18,198.29,AF,PT6H5M,2026-02-18T11:00:00,2026-02-18T12:35:00,
NCE,BCN,2026-02-18,198.29,AF,PT7H15M,2026-02-18T12:05:00,2026-02-18T13:45:00,
NCE,BCN,2026-02-18,198.29,AF,PT7H50M,2026-02-18T09:15:00,2026-02-18T10:45:00,
NCE,BCN,2026-02-18,198.29,AF,PT8H10M,2026-02-18T14:45:00,2026-02-18T16:15:00,
NCE,BCN,2026-02-19,77.56,VY,PT1H20M,2026-02-19T22:55:00,2026-02-20T00:15:00,
NCE,BCN,2026-02-19,77.56,IB,PT1H20M,2026-02-19T22:55:00,2026-02-20T00:15:00,
NCE,BCN,2026-02-19,126.9,DY,PT12H40M,2026-02-19T10:40:00,2026-02-19T13:35:00,
NCE,BCN,2026-02-19,137.41,IB,PT5H35M,2026-02-19T12:35:00,2026-02-19T14:35:00,
NCE,BCN,2026-02-19,182.0,TP,PT5H55M,2026-02-19T05:50:00,2026-02-19T07:35:00,
NCE,BCN,2026-02-19,182.0,TP,PT7H55M,2026-02-19T05:50:00,2026-02-19T07:35:00,
NCE,BCN,2026-02-19,182.0,TP,PT15H50M,2026-02-19T18:15:00,2026-02-19T20:00:00,
NCE,BCN,2026-02-19,182.0,TP,PT19H30M,2026-02-19T18:15:00,2026-02-19T20:00:00,
NCE,BCN,2026-02-19,198.29,AF,PT4H10M,2026-02-19T15:10:00,2026-02-19T16:45:00,
NCE,BCN,2026-02-19,198.29,AF,PT4H40M,2026-02-19T18:15:00,2026-02-19T19:55:00,
NCE,BCN,2026-02-19,198.29,AF,PT5H,2026-02-19T12:05:00,2026-02-19T13:45:00,
NCE,BCN,2026-02-19,198.29,AF,PT6H5M,2026-02-19T11:00:00,2026-02-19T12:35:00,
NCE,BCN,2026-02-19,198.29,AF,PT7H15M,2026-02-19T12:05:00,2026-02-19T13:45:00,
NCE,BCN,2026-02-19,198.29,AF,PT7H50M,2026-02-19T09:15:00,2026-02-19T10:45:00,
NCE,BCN,2026-02-19,198.29,AF,PT8H10M,2026-02-19T14:45:00,2026-02-19T16:15:00,
NCE,BCN,2026-02-20,66.56,VY,PT1H15M,2026-02-20T09:00:00,2026-02-20T10:15:00,
NCE,BCN,2026-02-20,77.56,IB,PT1H15M,2026-02-20T09:00:00,2026-02-20T10:15:00,
NCE,BCN,2026-02-20,77.56,IB,PT1H20M,2026-02-20T22:55:00,2026-02-21T00:15:00,
NCE,BCN,2026-02-20,77.56,VY,PT1H20M,2026-02-20T22:55:00,2026-02-21T00:15:00,
NCE,BCN,2026-02-20,133.16,DY,PT12H20M,2026-02-20T11:05:00,2026-02-20T13:20:00,
NCE,BCN,2026-02-20,137.41,IB,PT5H35M,2026-02-20T12:35:00,2026-02-20T14:35:00,
NCE,BCN,2026-02-20,162.41,TU,PT12H40M,2026-02-20T09:15:00,2026-02-20T10:50:00,
NCE,BCN,2026-02-20,177.28,A3,PT22H45M,2026-02-20T11:40:00,2026-02-20T15:05:00,
NCE,BCN,2026-02-20,177.28,A3,PT29H30M,2026-02-20T11:40:00,2026-02-20T15:05:00,
NCE,BCN,2026-02-20,182.0,TP,PT8H25M,2026-02-20T11:55:00,2026-02-20T13:40:00,
NCE,BCN,2026-02-20,182.0,TP,PT11H50M,2026-02-20T11:55:00,2026-02-20T13:40:00,
