origin,destination,date,price,airline,duration,departure,arrival,error
WAW,BCN,2026/2/18,104.87,A3,PT22H50M,2026-02-18T18:20:00,2026-02-18T21:50:00,
WAW,BCN,2026/2/18,125.87,A3,PT16H5M,2026-02-18T18:20:00,2026-02-18T21:50:00,
WAW,BCN,2026/2/18,143.59,TP,PT16H10M,2026-02-18T17:55:00,2026-02-18T21:20:00,
WAW,BCN,2026/2/18,143.59,TP,PT17H50M,2026-02-18T17:55:00,2026-02-18T21:20:00,
WAW,BCN,2026/2/18,183.62,LO,PT16H5M,2026-02-18T17:00:00,2026-02-18T19:05:00,
WAW,BCN,2026/2/18,187.88,AF,PT7H25M,2026-02-18T06:35:00,2026-02-18T09:15:00,
WAW,BCN,2026/2/18,194.89,LO,PT4H50M,2026-02-18T18:30:00,2026-02-18T20:20:00,
WAW,BCN,2026/2/18,194.89,LO,PT6H20M,2026-02-18T17:00:00,2026-02-18T18:55:00,
WAW,BCN,2026/2/18,214.19,OS,PT4H15M,2026-02-18T15:30:00,2026-02-18T16:50:00,
WAW,BCN,2026/2/18,214.19,OS,PT4H45M,2026-02-18T15:00:00,2026-02-18T16:20:00,
WAW,BCN,2026/2/18,215.22,LX,PT4H30M,2026-02-18T14:30:00,2026-02-18T16:35:00,
WAW,BCN,2026/2/18,215.22,LX,PT8H30M,2026-02-18T14:30:00,2026-02-18T16:35:00,
WAW,BCN,2026/2/18,215.22,LX,PT9H10M,2026-02-18T09:50:00,2026-02-18T11:55:00,
WAW,BCN,2026/2/18,215.22,LX,PT13H20M,2026-02-18T19:45:00,2026-02-18T21:50:00,
WAW,BCN,2026/2/18,215.22,LX,PT18H20M,2026-02-18T19:45:00,2026-02-18T21:50:00,
WAW,BCN,2026/2/19,143.59,TP,PT7H20M,2026-02-19T13:00:00,2026-02-19T16:25:00,
WAW,BCN,2026/2/19,143.59,TP,PT10H45M,2026-02-19T13:00:00,2026-02-19T16:25:00,
WAW,BCN,2026/2/19,163.44,DY,PT24H35M,2026-02-19T12:05:00,2026-02-19T14:00:00,
WAW,BCN,2026/2/19,203.87,A3,PT16H5M,2026-02-19T18:20:00,2026-02-19T21:50:00,
WAW,BCN,2026/2/19,214.19,OS,PT4H15M,2026-02-19T15:30:00,2026-02-19T16:50:00,
WAW,BCN,2026/2/19,215.22,LX,PT4H30M,2026-02-19T14:30:00,2026-02-19T16:35:00,
WAW,BCN,2026/2/19,215.22,LX,PT8H30M,2026-02-19T14:30:00,2026-02-19T16:35:00,
WAW,BCN,2026/2/19,215.22,LX,PT13H20M,2026-02-19T19:45:00,2026-02-19T21:50:00,
WAW,BCN,2026/2/19,215.22,LX,PT18H20M,2026-02-19T19:45:00,2026-02-19T21:50:00,
WAW,BCN,2026/2/19,215.22,LX,PT6H,2026-02-19T17:00:00,2026-02-19T19:05:00,
WAW,BCN,2026/2/19,215.22,LX,PT6H35M,2026-02-19T07:30:00,2026-02-19T09:35:00,
WAW,BCN,2026/2/19,215.22,LX,PT11H30M,2026-02-19T07:30:00,2026-02-19T09:35:00,
WAW,BCN,2026/2/19,215.22,LX,PT16H5M,2026-02-19T17:00:00,2026-02-19T19:05:00,
WAW,BCN,2026/2/19,215.32,SN,PT7H45M,2026-02-19T06:30:00,2026-02-19T08:45:00,
WAW,BCN,2026/2/19,215.32,SN,PT13H55M,2026-02-19T06:30:00,2026-02-19T08:45:00,
WAW,BCN,2026/2/20,104.87,A3,PT22H50M,2026-02-20T11:35:00,2026-02-20T15:05:00,
WAW,BCN,2026/2/20,104.87,A3,PT29H35M,2026-02-20T11:35:00,2026-02-20T15:05:00,
WAW,BCN,2026/2/20,143.59,TP,PT16H10M,2026-02-20T17:55:00,2026-02-20T21:20:00,
WAW,BCN,2026/2/20,143.59,TP,PT17H50M,2026-02-20T17:55:00,2026-02-20T21:20:00,
WAW,BCN,2026/2/20,194.89,LO,PT4H55M,2026-02-20T18:25:00,2026-02-20T20:15:00,
WAW,BCN,2026/2/20,194.89,LO,PT6H20M,2026-02-20T17:00:00,2026-02-20T18:55:00,
