origin,destination,date,price,airline,duration,segments,duration_min,departure_dt,arrival_dt,dep_date,dep_time,dep_minutes,arr_date,arr_time,arr_minutes,weekday
BCN,CDG,2026-03-12,99,Vueling,7800,0,130.0,2026-03-12 07:00:00,2026-03-12 09:10:00,2026-03-12,07:00:00,420,2026-03-12,09:10:00,550,Thursday
BCN,CDG,2026-03-12,99,Vueling,7200,0,120.0,2026-03-12 12:40:00,2026-03-12 14:40:00,2026-03-12,12:40:00,760,2026-03-12,14:40:00,880,Thursday
BCN,CDG,2026-03-12,239,Air France,7200,0,120.0,2026-03-12 16:00:00,2026-03-12 18:00:00,2026-03-12,16:00:00,960,2026-03-12,18:00:00,1080,Thursday
BCN,CDG,2026-03-12,168,Smartwings,102600,1,1710.0,2026-03-12 14:55:00,2026-03-13 19:25:00,2026-03-12,14:55:00,895,2026-03-13,19:25:00,1165,Thursday
BCN,CDG,2026-03-12,171,Smartwings,60900,1,1015.0,2026-03-12 14:55:00,2026-03-13 07:50:00,2026-03-12,14:55:00,895,2026-03-13,07:50:00,470,Thursday
BCN,CDG,2026-03-12,171,Smartwings,84000,1,1400.0,2026-03-12 14:55:00,2026-03-13 14:15:00,2026-03-12,14:55:00,895,2026-03-13,14:15:00,855,Thursday
BCN,CDG,2026-03-12,186,ITA,62400,1,1040.0,2026-03-12 06:20:00,2026-03-12 23:40:00,2026-03-12,06:20:00,380,2026-03-12,23:40:00,1420,Thursday
BCN,CDG,2026-03-12,210,Air Serbia,39000,1,650.0,2026-03-12 09:55:00,2026-03-12 20:45:00,2026-03-12,09:55:00,595,2026-03-12,20:45:00,1245,Thursday
BCN,CDG,2026-03-12,219,ITA,34500,2,575.0,2026-03-12 06:20:00,2026-03-12 15:55:00,2026-03-12,06:20:00,380,2026-03-12,15:55:00,955,Thursday
BCN,CDG,2026-03-12,219,ITA,34500,2,575.0,2026-03-12 06:20:00,2026-03-12 15:55:00,2026-03-12,06:20:00,380,2026-03-12,15:55:00,955,Thursday
BCN,CDG,2026-03-13,92,Vueling,7200,0,120.0,2026-03-13 19:20:00,2026-03-13 21:20:00,2026-03-13,19:20:00,1160,2026-03-13,21:20:00,1280,Friday
BCN,CDG,2026-03-13,114,Vueling,7200,0,120.0,2026-03-13 18:10:00,2026-03-13 20:10:00,2026-03-13,18:10:00,1090,2026-03-13,20:10:00,1210,Friday
BCN,CDG,2026-03-13,131,Vueling,7800,0,130.0,2026-03-13 07:00:00,2026-03-13 09:10:00,2026-03-13,07:00:00,420,2026-03-13,09:10:00,550,Friday
